Company,Role,Skills
Google,Data Scientist,"python, machine learning, sql"
Microsoft,Data Analyst,"excel, sql, power bi"
Amazon,Machine Learning Engineer,"python, deep learning, tensorflow"
Infosys,Web Developer,"html, css, javascript"
TCS,Backend Developer,"python, flask, mysql"
Wipro,AI Engineer,"python, ai, machine learning"
Zoho,Frontend Developer,"react, javascript, css"
IBM,Cloud Engineer,"aws, cloud, devops"
Accenture,Data Engineer,"python, spark, sql"
Cognizant,Full Stack Developer,"react, flask, mysql"
